endid,endname,end_lat,end_long,geometry,zipcode
3.0,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115,-71.10062,POINT (-71.10062000000001 42.340115),2115
4.0,Tremont St at E Berkeley St,42.34539,-71.06962,POINT (-71.06962 42.34539),2116
5.0,Northeastern University - North Parking Lot,42.341812,-71.09018,POINT (-71.09018 42.341812),2115
6.0,Cambridge St at Joy St,42.361256,-71.065285,POINT (-71.065285 42.361256),2114
7.0,Fan Pier,42.35339,-71.04457,POINT (-71.04456999999999 42.35339),2210
8.0,Union Square - Brighton Ave at Cambridge St,42.353333,-71.137314,POINT (-71.137314 42.353333),2134
9.0,Commonwealth Ave at Agganis Way,42.351692,-71.11903,POINT (-71.11903 42.351692),2215
10.0,B.U. Central - 725 Comm. Ave.,42.350407,-71.10828,POINT (-71.10827999999999 42.350407),2215
11.0,Longwood Ave at Binney St,42.33863,-71.1065,POINT (-71.1065 42.33863),2215
13.0,Boston Medical Center - E Concord St at Harrison Ave,42.3364,-71.07307,POINT (-71.07307 42.3364),2118
35.0,Arch St at Franklin St,42.355335,-71.05823,POINT (-71.05822999999999 42.355335),2110
38.0,TD Garden - Causeway at Portal Park #2,42.366222,-71.05991,POINT (-71.05991 42.366222),2114
42.0,Boylston St at Arlington St,42.352043,-71.07058,POINT (-71.07058000000001 42.352043),2116
45.0,Yawkey Way at Boylston St.,42.344707,-71.09751,POINT (-71.09751 42.344707),2215
48.0,Post Office Square,42.355854,-71.054596,POINT (-71.054596 42.355854),2110
50.0,Boylston St at Berkeley St,42.351143,-71.073296,POINT (-71.073296 42.351143),2116
52.0,Newbury St at Hereford St,42.348717,-71.08595,POINT (-71.08595 42.348717),2115
12.0,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.336243,-71.08798,POINT (-71.08798 42.336243),2120
53.0,Beacon St at Massachusetts Ave,42.350826,-71.08981,POINT (-71.08981 42.350826),2115
57.0,Massachusetts Ave at Columbus Ave,42.339493,-71.08021,POINT (-71.08020999999999 42.339493),2118
61.0,Boylston St at Fairfield St,42.348763,-71.08238,POINT (-71.08238 42.348763),2116
64.0,Congress St at Sleeper St,42.351006,-71.0493,POINT (-71.0493 42.351006),2210
88.0,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101425,POINT (-71.10142500000001 42.374035),2139
106.0,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075356,POINT (-71.075356 42.325333),2119
99.0,Wilson Square,42.385677,-71.11412,POINT (-71.11412 42.385677),2143
113.0,Andrew T Stop - Dorchester Ave at Dexter St,42.330475,-71.057014,POINT (-71.057014 42.330475),2127
120.0,Beacon St at Charles St,42.356052,-71.06985,POINT (-71.06985 42.356052),2108
122.0,Burlington Ave at Brookline Ave,42.345734,-71.10069,POINT (-71.10069 42.345734),2215
123.0,JP Center - Centre Street at Myrtle Street,42.313156,-71.11414,POINT (-71.11414000000001 42.313156),2130
128.0,E Cottage St at Columbia Rd,42.32056,-71.06198,POINT (-71.06198000000001 42.32056),2125
129.0,Hayes Square - Vine St at Moulton St,42.37702,-71.0566,POINT (-71.0566 42.37702),2129
130.0,Uphams Corner,42.317276,-71.06537,POINT (-71.06537 42.317276),2125
132.0,Summer St at Cutter St,42.394,-71.12041,POINT (-71.12041000000001 42.394),2144
134.0,Boylston St at Dartmouth St,42.350414,-71.07655,POINT (-71.07655 42.350414),2116
155.0,Huntington Ave at Mass Art,42.336517,-71.09897,POINT (-71.09896999999999 42.336517),2115
167.0,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.05666,POINT (-71.05665999999999 42.317642),2125
168.0,Harvard Ave at Brainerd Rd,42.349564,-71.13027,POINT (-71.13027 42.349564),2134
186.0,Congress St at Northern Ave,42.3481,-71.03764,POINT (-71.03764 42.3481),2210
187.0,Cypress St at Clark Playground,42.327843,-71.12536,POINT (-71.12536 42.327843),2445
199.0,Uphams Corner T Stop - Magnolia St at Dudley St,42.3187,-71.06978,POINT (-71.06977999999999 42.3187),2125
204.0,Walnut Ave at Warren St,42.32408,-71.08324,POINT (-71.08324 42.32408),2119
207.0,Faneuil St at Market St,42.35484,-71.15022,POINT (-71.15022 42.35484),2109
211.0,Piers Park,42.36489,-71.03497,POINT (-71.03497 42.36489),2128
216.0,Glendon St at Condor St,42.382404,-71.03024,POINT (-71.03024000000001 42.382404),2128
220.0,Grove St at Community Path,42.396385,-71.1201,POINT (-71.12009999999999 42.396385),2144
227.0,Silber Way,42.349495,-71.10058,POINT (-71.10057999999999 42.349495),2215
231.0,Washington St at Myrtle St,42.38172,-71.08376,POINT (-71.08376 42.38172),2143
237.0,699 Mt Auburn St,42.374977,-71.14863,POINT (-71.14863 42.374977),2138
238.0,Mass Ave at Hadley/Walden,42.391384,-71.12288,POINT (-71.12287999999999 42.391384),2140
240.0,Harvard St at Greene-Rose Heritage Park (former),42.365993,-71.09516,POINT (-71.09516000000001 42.365993),2139
241.0,Mattapan T Stop,42.267902,-71.09364,POINT (-71.09363999999999 42.267902),2126
242.0,Roslindale Village - South St,42.28707,-71.127754,POINT (-71.127754 42.28707),2131
243.0,Commonwealth Ave at Kelton St,42.34837,-71.13998,POINT (-71.13997999999999 42.34837),2134
244.0,Archdale Rd at Washington St,42.292706,-71.12115,POINT (-71.12115 42.292706),2131
245.0,Blue Hill Ave at Almont St,42.274544,-71.09372,POINT (-71.09372 42.274544),2126
