endid,endname,end_lat,end_long,geometry,zipcode
294,Pierce Ave at Market St,37.32758,-121.88456,POINT (-121.88456 37.32758),95110
295,William St at 10th St,37.332794,-121.87592,POINT (-121.87592 37.332794),95112
296,5th St at Virginia St,37.326,-121.87712,POINT (-121.87712 37.326),95112
297,Locust St at Grant St,37.32298,-121.88793,POINT (-121.88793 37.32298),95110
298,Oak St at 1st St,37.322124,-121.88109,POINT (-121.88109 37.322124),95110
299,Bestor Art Park,37.323677,-121.874115,POINT (-121.874115 37.323677),95112
3,Powell St BART Station (Market St at 4th St),37.786377,-122.40491,POINT (-122.40491 37.786377),94102
30,San Francisco Caltrain (Townsend St at 4th St),37.7766,-122.39528,POINT (-122.39528 37.7766),94107
300,Palm St at Willow St,37.3173,-121.884995,POINT (-121.884995 37.3173),95110
301,Willow St at Vine St,37.31845,-121.88317,POINT (-121.88317 37.31845),95110
302,Tamien Station,37.312855,-121.88294,POINT (-121.88294 37.312855),95110
303,San Pedro St at Hedding St,37.3526,-121.90573,POINT (-121.90573 37.3526),95110
304,Jackson St at 5th St,37.34876,-121.8948,POINT (-121.8948 37.34876),95112
305,Ryland Park,37.342724,-121.895615,POINT (-121.895615 37.342724),95112
306,Saint James Park,37.339302,-121.88994,POINT (-121.88994 37.339302),95112
307,SAP Center,37.33269,-121.900085,POINT (-121.900085 37.33269),95113
308,San Pedro Square,37.336803,-121.89409,POINT (-121.89409 37.336803),95110
309,San Jose City Hall,37.33739,-121.88699,POINT (-121.88699 37.33739),95112
31,Raymond Kimbell Playground,37.783813,-122.434555,POINT (-122.434555 37.783813),94115
310,San Fernando St at 4th St,37.335884,-121.88566,POINT (-121.88566 37.335884),95112
311,Paseo De San Antonio at 2nd St,37.333797,-121.88694,POINT (-121.88694 37.333797),95113
312,San Jose Diridon Station,37.32973,-121.90178,POINT (-121.90178 37.32973),95110
313,Almaden Blvd at San Fernando St,37.331413,-121.8932,POINT (-121.8932 37.331413),95113
314,Santa Clara St at Almaden Blvd,37.33399,-121.894905,POINT (-121.894905 37.33399),95113
315,Market St at 45th St,37.834175,-122.272964,POINT (-122.272964 37.834175),94608
316,1st St at San Carlos St,37.33117,-121.88694,POINT (-121.88694 37.33117),95113
317,San Salvador St at 9th St,37.333954,-121.87735,POINT (-121.87735 37.333954),95112
318,San Carlos St at Market St,37.330696,-121.88898,POINT (-121.88898 37.330696),95113
321,5th St at Folsom,37.780148,-122.40307,POINT (-122.40307 37.780148),94107
323,Broadway at Kearny,37.79801,-122.40595,POINT (-122.40595 37.79801),94133
324,Union Square (Powell St at Post St),37.7883,-122.40853,POINT (-122.40853 37.7883),94102
327,5th St at San Salvador St,37.33204,-121.88177,POINT (-121.88177 37.33204),95112
329,San Jose Depot,37.344017,-121.91506,POINT (-121.91506 37.344017),95110
33,Golden Gate Ave at Hyde St,37.78165,-122.415405,POINT (-122.415405 37.78165),94102
336,Potrero Ave and Mariposa St,37.763283,-122.40738,POINT (-122.40738 37.763283),94110
337,Webster St at 19th St,37.80697,-122.26659,POINT (-122.26659 37.80697),94612
338,13th St at Franklin St,37.80319,-122.27058,POINT (-122.27058 37.80319),94612
339,Jackson St at 11th St,37.800003,-122.26644,POINT (-122.26644 37.800003),94607
34,Father Alfred E Boeddeker Park,37.78399,-122.41241,POINT (-122.41241 37.78399),94102
340,Harmon St at Adeline St,37.849735,-122.270584,POINT (-122.270584 37.849735),94703
341,Fountain Alley at S 2nd St,37.33619,-121.889275,POINT (-121.889275 37.33619),95113
342,Colin P Kelly Jr St at Townsend St (Temporary Site),37.781384,-122.38984,POINT (-122.38984 37.781384),94107
343,Bryant St at 2nd St,37.783173,-122.39357,POINT (-122.39357 37.783173),94107
344,16th St Depot,37.76635,-122.39629,POINT (-122.39629 37.76635),94107
